user1,user1,7.5,9,8,9,9,9,BIO101,CSE140,DES202,MTH201,ECE113,CSE,2,2019418
user2,user2,7.8,8,6,9,6,8,ECE113,BIO101,CSE140,DES202,MTH201,CSD,2,2019419
user3,user3,8.1,9,6,9,8,7,ECE113,MTH201,BIO101,CSE140,DES202,CSE,2,2019417
user4,user4,8.4,8,10,7,10,10,ECE113,MTH201,DES202,BIO101,CSE140,CSB,2,2019416
user5,user5,8.7,6,10,10,6,6,ECE113,MTH201,DES202,CSE140,BIO101,CSD,2,2019415
user6,user6,9,10,8,10,10,6,MTH201,DES202,CSE140,BIO101,ECE113,CSE,2,2019414
user7,user7,9.3,10,8,10,6,8,DES202,CSE140,BIO101,MTH201,ECE113,CSB,2,2019413
user8,user8,9.6,9,10,6,8,8,CSE140,BIO101,DES202,MTH201,ECE113,CSE,2,2019412
user9,user9,9.9,7,10,7,10,10,BIO101,CSE140,DES202,MTH201,ECE113,CSSS,2,2019411
user10,user10,10,8,7,8,8,8,ECE113,BIO101,CSE140,DES202,MTH201,CSE,2,2019410
